startTime,endTime,type,subtype,source,assetExternalIds,KEY,source,sourceId,WORKORDER_NUMBER,WORKORDER_STATUS,WORKORDER_ISACTIVE,WORKORDER_TASKDESC,WORKORDER_TASKNAME,WORKORDER_TASKNUMBER,WORKORDER_TASKISCOMPLETED,WORKORDER_TISLOCATIONCODE,WORKORDER_TASKPREDECTASKNO,WORKORDER_TASKSHUTDOWNDESC,WORKORDER_STATUSISCOMPLETED,WORKORDER_TASKCOMPLETEDDATE,WORKORDER_TASKDURATIONHOURS,WORKORDER_TASKDISCIPLINEDESC,WORKORDER_TASKPREDECTASKNAME,WORKORDER_TASKREMAININGHOURS,WORKORDER_TASKPREDECDEPENDENCY
1347519600000,1347481574000.0,Worktask,VAL,akerbp-cdp,WMT:23-ZT-92543;WMT:23-YT-96119-01;WMT:23-TT-96183;WMT:23-FY-92542-03;WMT:23-PT-96153;WMT:23-TT-92537;WMT:23-YE-96119-01;WMT:23-PT-96160-03;WMT:23-PT-96149-02;WMT:23-XE-96125;WMT:23-TT-96147-02;WMT:23-TE-96181-03;WMT:23-PT-92537;WMT:23-PT-96186-01;WMT:23-PDT-92530;WMT:23-XY-92748-04;WMT:23-PT-92532;WMT:23-YT-96122;WMT:23-XE-96124;WMT:23-YT-96118-01;WMT:23-TE-96101-03;WMT:23-FSL-96141;WMT:23-PDT-96162;WMT:23-YT-96123;WMT:48-ZSH-96966B;WMT:23-PT-96156-01;WMT:23-TE-96104-04;WMT:23-TE-96147-02;WMT:23-PY-96153;WMT:23-FT-92537-01;WMT:23-ZT-92538;WMT:23-YT-96106-02;WMT:23-PT-96156-02;WMT:23-PY-92538;WMT:23-FY-92543-03;WMT:23-ZT-96121-01;WMT:23-FT-96158;WMT:48-ZSH-96966A;WMT:23-LT-96182-02;WMT:23-TE-96102-04;WMT:23-XT-96125;WMT:23-TW-96181-03;WMT:23-TE-96103-01;WMT:23-TT-96168;WMT:48-PT-96960;WMT:23-FT-96159;WMT:48-PT-96961;WMT:23-ZE-96121-03;WMT:23-TT-96181-02;WMT:23-YT-96117-01;WMT:23-YE-96119-02;WMT:23-PDT-96146;WMT:23-XE-96135;WMT:23-TT-96148;WMT:23-PT-96160-01;WMT:23-XT-96135;WMT:23-PT-92536;WMT:23-TE-96104-03;WMT:23-PDT-96161;WMT:23-PDT-92534;WMT:23-TE-96102-02;WMT:23-TW-96148;WMT:23-PDT-96155;WMT:23-YE-96105-02;WMT:23-ZE-96107-02;WMT:45-FT-92139B;WMT:23-TE-96103-02;WMT:23-XT-96108;WMT:23-LT-96182-01;WMT:45-FT-92139A;WMT:23-PT-96150-02;WMT:23-ZT-96107-01;WMT:23-LSHH-96138;WMT:23-YE-96120-02;WMT:23-YT-96134-01;WMT:23-FT-96167;WMT:23-YT-96133-02;WMT:23-PT-96186-02;WMT:23-PT-96157-01;WMT:23-FV-92543;WMT:23-YE-96105-01;WMT:23-YT-96105-02;WMT:23-YT-96106-01;WMT:23-PT-96150-01;WMT:23-LT-96182-03;WMT:23-TE-96104-02;WMT:23-TE-96181-02;WMT:23-YT-96119-02;WMT:23-FZSH-92542;WMT:23-YE-96133-02;WMT:23-YT-96134-02;WMT:23-TT-92532;WMT:48-ZSL-96966B;WMT:23-YT-96118-02;WMT:23-YE-96106-02;WMT:23-YE-96118-01;WMT:23-PSLL-96141;WMT:23-FZSH-92543;WMT:23-YT-96105-01;WMT:23-ZS-96142B;WMT:23-PT-96160-02;WMT:23-TT-92539;WMT:23-TT-96181-03;WMT:23-YE-96133-01;WMT:23-TE-96168;WMT:23-TT-92533;WMT:23-FT-92537-02;WMT:23-PT-96149-01;WMT:48-XY-96966A;WMT:23-ZS-96142A;WMT:23-TE-96101-01;WMT:23-TE-96101-02;WMT:23-TT-92536;WMT:23-YT-96117-02;WMT:23-YE-96118-02;WMT:23-XT-96124;WMT:23-ZT-96107-02;WMT:48-PT-96962;WMT:23-PT-92540;WMT:23-FZSL-92542;WMT:23-ZT-96121-03;WMT:23-TE-96183;WMT:23-YT-96133-01;WMT:23-TE-96148;WMT:23-PT-96186-03;WMT:23-YT-96120-02;WMT:23-TE-96103-04;WMT:23-PT-96157-02;WMT:23-YE-96117-01;WMT:23-TE-96181-01;WMT:23-FT-96151;WMT:23-TSHH-96147-01;WMT:23-TW-96181-01;WMT:23-TE-96104-01;WMT:23-YE-96120-01;WMT:23-FT-96152;WMT:23-ZE-96121-01;WMT:23-TW-96181-02;WMT:23-FV-92542;WMT:23-FY-92543;WMT:23-TE-96102-03;WMT:23-ZE-96107-03;WMT:23-TE-96103-03;WMT:23-PT-92531;WMT:23-TE-96102-01;WMT:23-TSHH-96197;WMT:23-ZT-96121-02;WMT:23-PSL-96140;WMT:23-TT-96181-01;WMT:23-ZE-96107-01;WMT:23-PT-92535;WMT:23-YT-96120-01;WMT:23-YE-96134-02;WMT:23-YE-96117-02;WMT:48-XY-96966B;WMT:23-ZT-96107-03;WMT:23-ZE-96121-02;WMT:23-XE-96108;WMT:23-PDT-96143;WMT:23-PT-92539;WMT:23-FZSL-92543;WMT:23-YE-96106-01;WMT:23-YE-96134-01;WMT:23-PDT-96180;WMT:48-ZSL-96966A;WMT:23-TW-96183;WMT:23-TE-96101-04,VAL_FAO-075581_01,akerbp-cdp,1732543338479282,FAO-075581,600,NO,Utfør kontroll *** henhold til PM rutine ***(PH)***,Årlig sampling assessment,01,YES,VAL,,Under drift,YES,,41,Automasjon,,0,
1347519600000,1347371087000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-074558_1,akerbp-cdp,2406505548777403,FAO-074558,600,NO,Utfør rutine ***(PH)***,*** MND MEK. Smøreoljeprøve kompressorer,1,YES,VAL,,Under drift,YES,,6,Mekanisk,,0,
1348124400000,1348000828000.0,Worktask,VAL,akerbp-cdp,WMT:23-YXY-92445-05;WMT:23-YSV-92545;WMT:23-YXY-92526-03;WMT:23-YZSL-92545;WMT:23-YSV-92445;WMT:23-YZSL-92526;WMT:23-YZSH-92526;WMT:23-YXY-92545-03;WMT:23-YXY-92545-05;WMT:23-YXY-92526-05;WMT:23-YZSL-92445;WMT:23-YZSH-92445;WMT:23-YZSH-92545;WMT:23-YSV-92526,VAL_FAO-075597_1,akerbp-cdp,5941950346439264,FAO-075597,600,NO,Utfør rutiner: ***(PH)***,*** MND DRIFT. Ettersyn og funklsjonstest av Blow Down ventiler,1,YES,VAL,,Utstyrs nedstenging,YES,,26,Drift,,0,
1348729200000,1348955111000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-075661_1,akerbp-cdp,6703079396873753,FAO-075661,600,NO,Utfør rutine ***(PH)***,*** MND MEK. Smøreoljeprøve kompressorer,1,YES,VAL,,Under drift,YES,2012-09-27T14:57:49,8,Mekanisk,,0,
1349074800000,1348475760000.0,Worktask,VAL,akerbp-cdp,WMT:23-GO-9115;WMT:48-XY-96966B;WMT:48-ZSH-96966A;WMT:48-ZSL-96966B;WMT:23-GO-9114;WMT:48-ZSH-96966B;WMT:48-ZSL-96966A;WMT:48-XY-96966A,VAL_FAO-075689_01,akerbp-cdp,3679884892019036,FAO-075689,600,NO,Utfør kontroll *** henhold til PM rutine ***(PH)***,***  MND DRIFT. ***-månedlig funksjonstest av ***,01,YES,VAL,,Utstyrs nedstenging,YES,,2,Drift,,0,
1351234800000,1351555200000.0,Worktask,VAL,akerbp-cdp,WMT:23-ESDV-92551A;WMT:23-ESDV-92501A;WMT:23-ESDV-92501B;WMT:23-ESDV-92521;WMT:23-ESDV-92551B,VAL_FAO-077067_10,akerbp-cdp,2171340390067357,FAO-077067,900,NO,Excecute Routine ***-VPH-CM-***,Daily analysis of ***-MAP,10,NO,VAL,,Under drift,NO,,2,Onshore,,2,
1351234800000,1351555200000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-077066_10,akerbp-cdp,5753502328955862,FAO-077066,900,NO,Excecute Routine ***-VPH-CM-***,Daily analysis of System1,10,YES,VAL,,Under drift,NO,,2,Onshore,,0,
1351234800000,1351526895000.0,Worktask,VAL,akerbp-cdp,WMT:23-LV-92521B;WMT:23-TV-92504;WMT:23-TV-92604B;WMT:23-LV-92521A;WMT:23-PV-96153,VAL_FAO-077072_30,akerbp-cdp,3653728236830595,FAO-077072,600,NO,*** ***-VPH-CM-***,Monthly monitoring control valves,30,YES,VAL,,Under drift,YES,,4,Onshore,,0,
1351234800000,1351525183000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-077069_10,akerbp-cdp,1615633593714489,FAO-077069,600,NO,Excecute Routine ***-VPH-CM-***,Daily CM data reveiw and analysis,10,YES,VAL,,Under drift,YES,,4,Onshore,,0,
1351234800000,1351555200000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-077068_30,akerbp-cdp,5543409373471412,FAO-077068,900,NO,Excecute Routine ***-VPH-CM-***,Monthly oil analysis,30,NO,VAL,,Under drift,NO,,2,Onshore,,2,
