timeseries,asset
pi:160696,WMT:23-PT-92504
pi:160702,WMT:23-PT-92536
pi:163657,WMT:45-TT-92606
pi:160633,WMT:23-PDT-92602
pi:163582,WMT:45-PT-92608
pi:160781,WMT:23-TIC-92504
pi:191092,WMT:23-TT-92604A
