"key","externalId","sourceExternalId","targetExternalId"
"FAO-106394-WMT:48-LG-96960","FAO-106394-WMT:48-LG-96960","FAO-106394","WMT:48-LG-96960"
"FAO-106394-WMT:48-PT-96960","FAO-106394-WMT:48-PT-96960","FAO-106394","WMT:48-PT-96960"
"FAO-108881-WMT:45-HV-92509","FAO-108881-WMT:45-HV-92509","FAO-108881","WMT:45-HV-92509"
"FAO-109512-WMT:23-DB-9101","FAO-109512-WMT:23-DB-9101","FAO-109512","WMT:23-DB-9101"
"FAO-110241-WMT:23-GE-9110A","FAO-110241-WMT:23-GE-9110A","FAO-110241","WMT:23-GE-9110A"
"FAO-110314-WMT:45-HV-92515-01","FAO-110314-WMT:45-HV-92515-01","FAO-110314","WMT:45-HV-92515-01"
"FAO-110426-WMT:23-ESDP-92551B","FAO-110426-WMT:23-ESDP-92551B","FAO-110426","WMT:23-ESDP-92551B"
"FAO-110426-WMT:23-EXY-92551B-03","FAO-110426-WMT:23-EXY-92551B-03","FAO-110426","WMT:23-EXY-92551B-03"
"FAO-110428-WMT:23-EPV-92551A","FAO-110428-WMT:23-EPV-92551A","FAO-110428","WMT:23-EPV-92551A"
"FAO-110428-WMT:23-ESDV-92551A","FAO-110428-WMT:23-ESDV-92551A","FAO-110428","WMT:23-ESDV-92551A"
"FAO-111209-WMT:23-TIC-96148","FAO-111209-WMT:23-TIC-96148","FAO-111209","WMT:23-TIC-96148"
"FAO-112176-WMT:23-YXY-92545-05","FAO-112176-WMT:23-YXY-92545-05","FAO-112176","WMT:23-YXY-92545-05"
"FAO-112365-WMT:48-ZSH-96966A","FAO-112365-WMT:48-ZSH-96966A","FAO-112365","WMT:48-ZSH-96966A"
"FAO-112844-WMT:23-LY-92521A","FAO-112844-WMT:23-LY-92521A","FAO-112844","WMT:23-LY-92521A"
"FAO-112844-WMT:45-PDT-92606","FAO-112844-WMT:45-PDT-92606","FAO-112844","WMT:45-PDT-92606"
"FAO-115092-WMT:23-KA-9101-M01","FAO-115092-WMT:23-KA-9101-M01","FAO-115092","WMT:23-KA-9101-M01"
"FAO-115097-WMT:23-ESDV-92521","FAO-115097-WMT:23-ESDV-92521","FAO-115097","WMT:23-ESDV-92521"
"FAO-115102-WMT:23-KA-9101-M01","FAO-115102-WMT:23-KA-9101-M01","FAO-115102","WMT:23-KA-9101-M01"
"FAO-115104-WMT:23-FIC-92543","FAO-115104-WMT:23-FIC-92543","FAO-115104","WMT:23-FIC-92543"
"FAO-115104-WMT:23-TIC-96147","FAO-115104-WMT:23-TIC-96147","FAO-115104","WMT:23-TIC-96147"
"FAO-115603-WMT:23-PSV-96172","FAO-115603-WMT:23-PSV-96172","FAO-115603","WMT:23-PSV-96172"
"FAO-115603-WMT:23-TW-96181-01","FAO-115603-WMT:23-TW-96181-01","FAO-115603","WMT:23-TW-96181-01"
"FAO-115603-WMT:23-XY-96164-02","FAO-115603-WMT:23-XY-96164-02","FAO-115603","WMT:23-XY-96164-02"
"FAO-115961-WMT:48-XY-96966B","FAO-115961-WMT:48-XY-96966B","FAO-115961","WMT:48-XY-96966B"
