"key","externalId","sourceExternalId","targetExternalId"
"FAO-148147-FAO-148147-010","FAO-148147-FAO-148147-010","FAO-148147","FAO-148147-010"
"FAO-149162-FAO-149162-010","FAO-149162-FAO-149162-010","FAO-149162","FAO-149162-010"
"FAO-150252-FAO-150252-01","FAO-150252-FAO-150252-01","FAO-150252","FAO-150252-01"
"FAO-152847-FAO-152847-01","FAO-152847-FAO-152847-01","FAO-152847","FAO-152847-01"
"FAO-152853-FAO-152853-01","FAO-152853-FAO-152853-01","FAO-152853","FAO-152853-01"
"FAO-153054-FAO-153054-01","FAO-153054-FAO-153054-01","FAO-153054","FAO-153054-01"
"FAO-153059-FAO-153059-01","FAO-153059-FAO-153059-01","FAO-153059","FAO-153059-01"
"FAO-154406-FAO-154406-","FAO-154406-FAO-154406-","FAO-154406","FAO-154406-"
"FAO-154420-FAO-154420-01","FAO-154420-FAO-154420-01","FAO-154420","FAO-154420-01"
"FAO-154446-FAO-154446-","FAO-154446-FAO-154446-","FAO-154446","FAO-154446-"
"FAO-154520-FAO-154520-010","FAO-154520-FAO-154520-010","FAO-154520","FAO-154520-010"
"FAO-154521-FAO-154521-010","FAO-154521-FAO-154521-010","FAO-154521","FAO-154521-010"
"FAO-155238-FAO-155238-","FAO-155238-FAO-155238-","FAO-155238","FAO-155238-"
"FAO-155239-FAO-155239-1","FAO-155239-FAO-155239-1","FAO-155239","FAO-155239-1"
"FAO-155887-FAO-155887-0202","FAO-155887-FAO-155887-0202","FAO-155887","FAO-155887-0202"
"IAO-018562-IAO-018562-","IAO-018562-IAO-018562-","IAO-018562","IAO-018562-"
"IAO-019143-IAO-019143-","IAO-019143-IAO-019143-","IAO-019143","IAO-019143-"
"IAO-019190-IAO-019190-","IAO-019190-IAO-019190-","IAO-019190","IAO-019190-"
"IAO-021680-IAO-021680-","IAO-021680-IAO-021680-","IAO-021680","IAO-021680-"
"IAO-021683-IAO-021683-","IAO-021683-IAO-021683-","IAO-021683","IAO-021683-"
"IAO-021692-IAO-021692-","IAO-021692-IAO-021692-","IAO-021692","IAO-021692-"
"IAO-023582-IAO-023582-1","IAO-023582-IAO-023582-1","IAO-023582","IAO-023582-1"
"IAO-024391-IAO-024391-","IAO-024391-IAO-024391-","IAO-024391","IAO-024391-"
"IAO-024428-IAO-024428-","IAO-024428-IAO-024428-","IAO-024428","IAO-024428-"
"IAO-024540-IAO-024540-","IAO-024540-IAO-024540-","IAO-024540","IAO-024540-"
"IAO-031546-IAO-031546-","IAO-031546-IAO-031546-","IAO-031546","IAO-031546-"
"IAO-033743-IAO-033743-","IAO-033743-IAO-033743-","IAO-033743","IAO-033743-"
"IAO-034962-IAO-034962-","IAO-034962-IAO-034962-","IAO-034962","IAO-034962-"
"IAO-035922-IAO-035922-","IAO-035922-IAO-035922-","IAO-035922","IAO-035922-"
"IAO-036166-IAO-036166-","IAO-036166-IAO-036166-","IAO-036166","IAO-036166-"
"IAO-036205-IAO-036205-","IAO-036205-IAO-036205-","IAO-036205","IAO-036205-"
"KAO-102621-KAO-102621-","KAO-102621-KAO-102621-","KAO-102621","KAO-102621-"
"KAO-102650-KAO-102650-","KAO-102650-KAO-102650-","KAO-102650","KAO-102650-"
"KAO-103155-KAO-103155-","KAO-103155-KAO-103155-","KAO-103155","KAO-103155-"
"KAO-107161-KAO-107161-","KAO-107161-KAO-107161-","KAO-107161","KAO-107161-"
"KAO-108782-KAO-108782-","KAO-108782-KAO-108782-","KAO-108782","KAO-108782-"
"KAO-108850-KAO-108850-","KAO-108850-KAO-108850-","KAO-108850","KAO-108850-"
"KAO-109478-KAO-109478-","KAO-109478-KAO-109478-","KAO-109478","KAO-109478-"
"KAO-109481-KAO-109481-","KAO-109481-KAO-109481-","KAO-109481","KAO-109481-"
"KAO-112165-KAO-112165-","KAO-112165-KAO-112165-","KAO-112165","KAO-112165-"
"KAO-116938-KAO-116938-","KAO-116938-KAO-116938-","KAO-116938","KAO-116938-"
"KAO-117667-KAO-117667-","KAO-117667-KAO-117667-","KAO-117667","KAO-117667-"
"KAO-119628-KAO-119628-","KAO-119628-KAO-119628-","KAO-119628","KAO-119628-"
"KAO-119707-KAO-119707-","KAO-119707-KAO-119707-","KAO-119707","KAO-119707-"
"KAO-121312-KAO-121312-","KAO-121312-KAO-121312-","KAO-121312","KAO-121312-"
"KAO-122779-KAO-122779-","KAO-122779-KAO-122779-","KAO-122779","KAO-122779-"
"KAO-125687-KAO-125687-","KAO-125687-KAO-125687-","KAO-125687","KAO-125687-"
"KAO-126864-KAO-126864-","KAO-126864-KAO-126864-","KAO-126864","KAO-126864-"
"KAO-127415-KAO-127415-","KAO-127415-KAO-127415-","KAO-127415","KAO-127415-"
"KAO-129946-KAO-129946-","KAO-129946-KAO-129946-","KAO-129946","KAO-129946-"
"KAO-130037-KAO-130037-","KAO-130037-KAO-130037-","KAO-130037","KAO-130037-"
"KAO-130168-KAO-130168-","KAO-130168-KAO-130168-","KAO-130168","KAO-130168-"
"KAO-133232-KAO-133232-4","KAO-133232-KAO-133232-4","KAO-133232","KAO-133232-4"
"KAO-133576-KAO-133576-1","KAO-133576-KAO-133576-1","KAO-133576","KAO-133576-1"
"KAO-134783-KAO-134783-","KAO-134783-KAO-134783-","KAO-134783","KAO-134783-"
"KAO-134853-KAO-134853-","KAO-134853-KAO-134853-","KAO-134853","KAO-134853-"
"KAO-141687-KAO-141687-","KAO-141687-KAO-141687-","KAO-141687","KAO-141687-"
"KAO-141722-KAO-141722-1","KAO-141722-KAO-141722-1","KAO-141722","KAO-141722-1"
"KAO-142382-KAO-142382-","KAO-142382-KAO-142382-","KAO-142382","KAO-142382-"
"KAO-143510-KAO-143510-","KAO-143510-KAO-143510-","KAO-143510","KAO-143510-"
"KAO-144676-KAO-144676-","KAO-144676-KAO-144676-","KAO-144676","KAO-144676-"
"KAO-144742-KAO-144742-1","KAO-144742-KAO-144742-1","KAO-144742","KAO-144742-1"
"KAO-146733-KAO-146733-","KAO-146733-KAO-146733-","KAO-146733","KAO-146733-"
"KAO-148351-KAO-148351-","KAO-148351-KAO-148351-","KAO-148351","KAO-148351-"
"KAO-148494-KAO-148494-","KAO-148494-KAO-148494-","KAO-148494","KAO-148494-"
"KAO-149985-KAO-149985-","KAO-149985-KAO-149985-","KAO-149985","KAO-149985-"
"KAO-150436-KAO-150436-","KAO-150436-KAO-150436-","KAO-150436","KAO-150436-"
"KAO-153187-KAO-153187-1","KAO-153187-KAO-153187-1","KAO-153187","KAO-153187-1"
"KAO-154652-KAO-154652-","KAO-154652-KAO-154652-","KAO-154652","KAO-154652-"
"KAO-154730-KAO-154730-","KAO-154730-KAO-154730-","KAO-154730","KAO-154730-"
"KAO-156503-KAO-156503-020","KAO-156503-KAO-156503-020","KAO-156503","KAO-156503-020"
"KAO-156924-KAO-156924-","KAO-156924-KAO-156924-","KAO-156924","KAO-156924-"
"KAO-163375-KAO-163375-","KAO-163375-KAO-163375-","KAO-163375","KAO-163375-"
"KAO-165761-KAO-165761-1.1","KAO-165761-KAO-165761-1.1","KAO-165761","KAO-165761-1.1"
"KAO-166353-KAO-166353-","KAO-166353-KAO-166353-","KAO-166353","KAO-166353-"
"KAO-170563-KAO-170563-","KAO-170563-KAO-170563-","KAO-170563","KAO-170563-"
"KAO-170635-KAO-170635-10","KAO-170635-KAO-170635-10","KAO-170635","KAO-170635-10"
"KAO-173988-KAO-173988-","KAO-173988-KAO-173988-","KAO-173988","KAO-173988-"
"MAO-010197-MAO-010197-","MAO-010197-MAO-010197-","MAO-010197","MAO-010197-"
"MAO-011255-MAO-011255-","MAO-011255-MAO-011255-","MAO-011255","MAO-011255-"
"MAO-011258-MAO-011258-","MAO-011258-MAO-011258-","MAO-011258","MAO-011258-"
"MAO-011261-MAO-011261-","MAO-011261-MAO-011261-","MAO-011261","MAO-011261-"
"MAO-011271-MAO-011271-","MAO-011271-MAO-011271-","MAO-011271","MAO-011271-"
"FAO-121750-FAO-121750-4","FAO-121750-FAO-121750-4","FAO-121750","FAO-121750-4"
