"key","externalId","sourceExternalId","targetExternalId"
"WMT:23-TT-96148-WMT:23-TI-96148","WMT:23-TT-96148-WMT:23-TI-96148","WMT:23-TT-96148","WMT:23-TI-96148"
"WMT:23-TT-96181-01-WMT:23-TAH-96181-01","WMT:23-TT-96181-01-WMT:23-TAH-96181-01","WMT:23-TT-96181-01","WMT:23-TAH-96181-01"
"WMT:23-TT-96181-01-WMT:23-TAHH-96181-01","WMT:23-TT-96181-01-WMT:23-TAHH-96181-01","WMT:23-TT-96181-01","WMT:23-TAHH-96181-01"
"WMT:23-TT-96181-02-WMT:23-TAH-96181-02","WMT:23-TT-96181-02-WMT:23-TAH-96181-02","WMT:23-TT-96181-02","WMT:23-TAH-96181-02"
"WMT:23-VA-9110-WMT:23-VA-9110-H01","WMT:23-VA-9110-WMT:23-VA-9110-H01","WMT:23-VA-9110","WMT:23-VA-9110-H01"
"WMT:23-VA-9110-WMT:23-VA-9110-M01","WMT:23-VA-9110-WMT:23-VA-9110-M01","WMT:23-VA-9110","WMT:23-VA-9110-M01"
"WMT:23-VG-9101-WMT:23-PDT-92522","WMT:23-VG-9101-WMT:23-PDT-92522","WMT:23-VG-9101","WMT:23-PDT-92522"
"WMT:23-VG-9101-WMT:23-PSV-92527","WMT:23-VG-9101-WMT:23-PSV-92527","WMT:23-VG-9101","WMT:23-PSV-92527"
"WMT:23-VG-9101-WMT:23-PT-92523","WMT:23-VG-9101-WMT:23-PT-92523","WMT:23-VG-9101","WMT:23-PT-92523"
"WMT:23-WMT:230900","WMT:23-WMT:230900","WMT:23","WMT:230900"
"WMT:23-XE-96125-WMT:23-XT-96125","WMT:23-XE-96125-WMT:23-XT-96125","WMT:23-XE-96125","WMT:23-XT-96125"
"WMT:23-XX-9105-WMT:90-MX-9245","WMT:23-XX-9105-WMT:90-MX-9245","WMT:23-XX-9105","WMT:90-MX-9245"
"WMT:23-XX-9106-WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH","WMT:23-XX-9106-WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH","WMT:23-XX-9106","WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH"
"WMT:23-YE-96106-02-WMT:23-YT-96106-02","WMT:23-YE-96106-02-WMT:23-YT-96106-02","WMT:23-YE-96106-02","WMT:23-YT-96106-02"
"WMT:23-YE-96134-02-WMT:23-YI-96134-02","WMT:23-YE-96134-02-WMT:23-YI-96134-02","WMT:23-YE-96134-02","WMT:23-YI-96134-02"
"WMT:23-YSV-92526-WMT:23-YPV-92526","WMT:23-YSV-92526-WMT:23-YPV-92526","WMT:23-YSV-92526","WMT:23-YPV-92526"
"WMT:23-YSV-92545-WMT:23-YZSH-92545","WMT:23-YSV-92545-WMT:23-YZSH-92545","WMT:23-YSV-92545","WMT:23-YZSH-92545"
"WMT:23-YT-96106-01-WMT:23-YAHH-96106-01","WMT:23-YT-96106-01-WMT:23-YAHH-96106-01","WMT:23-YT-96106-01","WMT:23-YAHH-96106-01"
"WMT:23-YT-96133-02-WMT:23-YAHH-96133-02","WMT:23-YT-96133-02-WMT:23-YAHH-96133-02","WMT:23-YT-96133-02","WMT:23-YAHH-96133-02"
"WMT:23-ZS-96142B-WMT:23-ZI-96142B","WMT:23-ZS-96142B-WMT:23-ZI-96142B","WMT:23-ZS-96142B","WMT:23-ZI-96142B"
"WMT:23-ZT-96107-03-WMT:23-ZAHH-96107-03","WMT:23-ZT-96107-03-WMT:23-ZAHH-96107-03","WMT:23-ZT-96107-03","WMT:23-ZAHH-96107-03"
"WMT:48-SU-9105-WMT:48-PSE-96961","WMT:48-SU-9105-WMT:48-PSE-96961","WMT:48-SU-9105","WMT:48-PSE-96961"
"WMT:48-XV-96960-WMT:48-PT-96960","WMT:48-XV-96960-WMT:48-PT-96960","WMT:48-XV-96960","WMT:48-PT-96960"
"WMT:48-XV-96960-WMT:48-XY-96960","WMT:48-XV-96960-WMT:48-XY-96960","WMT:48-XV-96960","WMT:48-XY-96960"
"WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH-WMT:23-CB-9104A","WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH-WMT:23-CB-9104A","WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH","WMT:23-CB-9104A"
"WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH-WMT:23-PT-96160-02","WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH-WMT:23-PT-96160-02","WMT:23-1ST STAGE COMP DRY GAS SEAL SYS-PH","WMT:23-PT-96160-02"
"WMT:23-1ST STAGE COMP ENCLOSURE-PH-WMT:23-ZS-96142C","WMT:23-1ST STAGE COMP ENCLOSURE-PH-WMT:23-ZS-96142C","WMT:23-1ST STAGE COMP ENCLOSURE-PH","WMT:23-ZS-96142C"
"WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-CB-9103B","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-CB-9103B","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH","WMT:23-CB-9103B"
"WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-FG-96101-01","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-FG-96101-01","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH","WMT:23-FG-96101-01"
"WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-FG-96105-02","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-FG-96105-02","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH","WMT:23-FG-96105-02"
"WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-HA-9107A","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-HA-9107A","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH","WMT:23-HA-9107A"
